"id","title","poster_url","year","duration","age_rating","star_rating","num_ratings","description"
"1","The Shawshank Redemption","https://m.media-amazon.com/images/M/MV5BMDAyY2FhYjctNDc5OS00MDNlLThiMGUtY2UxYWVkNGY2ZjljXkEyXkFqcGc@._V1_QL75_UX280_CR0,3,280,414_.jpg","1994","2h 22m","R","9.3","3M","A banker convicted of uxoricide forms a friendship over a quarter century with a hardened convict, while maintaining his innocence and trying to remain hopeful through simple compassion."
"2","The Godfather","https://m.media-amazon.com/images/M/MV5BNGEwYjgwOGQtYjg5ZS00Njc1LTk2ZGEtM2QwZWQ2NjdhZTE5XkEyXkFqcGc@._V1_QL75_UY414_CR6,0,280,414_.jpg","1972","2h 55m","R","9.2","2.1M","The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son."
"3","The Dark Knight","https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_QL75_UX280_CR0,0,280,414_.jpg","2008","2h 32m","PG-13","9.0","3M","When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness."
"4","Schindler's List","https://m.media-amazon.com/images/M/MV5BNjM1ZDQxYWUtMzQyZS00MTE1LWJmZGYtNGUyNTdlYjM3ZmVmXkEyXkFqcGc@._V1_QL75_UX280_CR0,3,280,414_.jpg","1993","3h 15m","R","9.0","1.5M","In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis."
"5","12 Angry Men","https://m.media-amazon.com/images/M/MV5BYjE4NzdmOTYtYjc5Yi00YzBiLWEzNDEtNTgxZGQ2MWVkN2NiXkEyXkFqcGc@._V1_QL75_UX280_CR0,8,280,414_.jpg","1957","1h 36m","Approved","9.0","920K","The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict."
"6","The Godfather Part II","https://m.media-amazon.com/images/M/MV5BMDIxMzBlZDktZjMxNy00ZGI4LTgxNDEtYWRlNzRjMjJmOGQ1XkEyXkFqcGc@._V1_QL75_UX280_CR0,3,280,414_.jpg","1974","3h 22m","R","9.0","1.4M","The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate."
"7","The Lord of the Rings: The Return of the King","https://m.media-amazon.com/images/M/MV5BMTZkMjBjNWMtZGI5OC00MGU0LTk4ZTItODg2NWM3NTVmNWQ4XkEyXkFqcGc@._V1_QL75_UX280_CR0,0,280,414_.jpg","2003","3h 21m","PG-13","9.0","2.1M","Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring."
"8","Pulp Fiction","https://m.media-amazon.com/images/M/MV5BYTViYTE3ZGQtNDBlMC00ZTAyLTkyODMtZGRiZDg0MjA2YThkXkEyXkFqcGc@._V1_QL75_UY414_CR2,0,280,414_.jpg","1994","2h 34m","R","8.9","2.3M","The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
"9","The Lord of the Rings: The Fellowship of the Ring","https://m.media-amazon.com/images/M/MV5BNzIxMDQ2YTctNDY4MC00ZTRhLTk4ODQtMTVlOWY4NTdiYmMwXkEyXkFqcGc@._V1_QL75_UX280_CR0,1,280,414_.jpg","2001","2h 58m","PG-13","8.9","2.1M","A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron."
"10","O.J.: Made in America","https://m.media-amazon.com/images/M/MV5BZGY0NWIxNTEtYzVhOS00ZWY1LTkyNTctODBkMDBlMjI0YTI4XkEyXkFqcGc@._V1_QL75_UX280_CR0,0,280,414_.jpg","2016","7h 47m","TV-MA","8.9","23K","A chronicle of the rise and fall of O.J. Simpson, whose high-profile murder trial exposed the extent of American racial tensions, revealing a fractured and divided nation."
"11","Inception","https://m.media-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_QL75_UX280_CR0,0,280,414_.jpg","2010","2h 28m","PG-13","8.8","2.7M","A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster."
"12","Fight Club","https://m.media-amazon.com/images/M/MV5BOTgyOGQ1NDItNGU3Ny00MjU3LTg2YWEtNmEyYjBiMjI1Y2M5XkEyXkFqcGc@._V1_QL75_UX280_CR0,3,280,414_.jpg","1999","2h 19m","R","8.8","2.5M","An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more."
"13","Forrest Gump","https://m.media-amazon.com/images/M/MV5BNDYwNzVjMTItZmU5YS00YjQ5LTljYjgtMjY2NDVmYWMyNWFmXkEyXkFqcGc@._V1_QL75_UY414_CR3,0,280,414_.jpg","1994","2h 22m","PG-13","8.8","2.4M","The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart."
"14","The Lord of the Rings: The Two Towers","https://m.media-amazon.com/images/M/MV5BMGQxMDdiOWUtYjc1Ni00YzM1LWE2NjMtZTg3Y2JkMjEzMTJjXkEyXkFqcGc@._V1_QL75_UX280_CR0,11,280,414_.jpg","2002","2h 59m","PG-13","8.8","1.9M","While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard."
"15","Interstellar","https://m.media-amazon.com/images/M/MV5BYzdjMDAxZGItMjI2My00ODA1LTlkNzItOWFjMDU5ZDJlYWY3XkEyXkFqcGc@._V1_QL75_UX280_CR0,0,280,414_.jpg","2014","2h 49m","PG-13","8.7","2.3M","When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans."
"16","Goodfellas","https://m.media-amazon.com/images/M/MV5BN2E5NzI2ZGMtY2VjNi00YTRjLWI1MDUtZGY5OWU1MWJjZjRjXkEyXkFqcGc@._V1_QL75_UX280_CR0,2,280,414_.jpg","1990","2h 25m","R","8.7","1.3M","The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito."
"17","The Matrix","https://m.media-amazon.com/images/M/MV5BN2NmN2VhMTQtMDNiOS00NDlhLTliMjgtODE2ZTY0ODQyNDRhXkEyXkFqcGc@._V1_QL75_UX280_CR0,3,280,414_.jpg","1999","2h 16m","R","8.7","2.1M","When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence."
"18","One Flew Over the Cuckoo's Nest","https://m.media-amazon.com/images/M/MV5BYjBkMjgzMzYtNzRiMS00NDc3LWE4YTUtZjYxYjZhNjNhYzhhXkEyXkFqcGc@._V1_QL75_UX280_CR0,1,280,414_.jpg","1975","2h 13m","R","8.7","1.1M","In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse."
"19","Star Wars: Episode V - The Empire Strikes Back","https://m.media-amazon.com/images/M/MV5BMTkxNGFlNDktZmJkNC00MDdhLTg0MTEtZjZiYWI3MGE5NWIwXkEyXkFqcGc@._V1_QL75_UX280_CR0,11,280,414_.jpg","1980","2h 4m","PG","8.7","1.4M","After the Empire overpowers the Rebel Alliance, Luke Skywalker begins training with Jedi Master Yoda, while Darth Vader and bounty hunter Boba Fett pursue his friends across the galaxy."
"20","Stop Making Sense","https://m.media-amazon.com/images/M/MV5BOTY2Y2EzMTctYTZiMC00YzEzLWIwMDItODQyYWUyY2U2MTk4XkEyXkFqcGc@._V1_QL75_UX280_CR0,6,280,414_.jpg","1984","1h 28m","PG","8.7","23K","A live performance of the band Talking Heads shot over the course of three nights at Hollywood's Pantages Theater in December of 1983 and featuring their most memorable songs."
"21","Se7en","https://m.media-amazon.com/images/M/MV5BY2IzNzMxZjctZjUxZi00YzAxLTk3ZjMtODFjODdhMDU5NDM1XkEyXkFqcGc@._V1_QL75_UX280_CR0,12,280,414_.jpg","1995","2h 7m","R","8.6","1.9M","Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."
"22","The Green Mile","https://m.media-amazon.com/images/M/MV5BMTUxMzQyNjA5MF5BMl5BanBnXkFtZTYwOTU2NTY3._V1_QL75_UX280_CR0,0,280,414_.jpg","1999","3h 9m","R","8.6","1.5M","A death row guard learns that a gentle giant in his charge possesses a mysterious gift."
"23","The Silence of the Lambs","https://m.media-amazon.com/images/M/MV5BNDdhOGJhYzctYzYwZC00YmI2LWI0MjctYjg4ODdlMDExYjBlXkEyXkFqcGc@._V1_QL75_UY414_CR1,0,280,414_.jpg","1991","1h 58m","R","8.6","1.6M","A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims."
"24","Saving Private Ryan","https://m.media-amazon.com/images/M/MV5BZGZhZGQ1ZWUtZTZjYS00MDJhLWFkYjctN2ZlYjE5NWYwZDM2XkEyXkFqcGc@._V1_QL75_UY414_CR1,0,280,414_.jpg","1998","2h 49m","R","8.6","1.6M","Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action."
"25","Terminator 2: Judgment Day","https://m.media-amazon.com/images/M/MV5BNGMyMGNkMDUtMjc2Ni00NWFlLTgyODEtZTY2MzBiZTg0OWZiXkEyXkFqcGc@._V1_QL75_UX280_CR0,1,280,414_.jpg","1991","2h 17m","R","8.6","1.2M","A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son John from an even more advanced and powerful cyborg."
"26","Spirited Away","https://m.media-amazon.com/images/M/MV5BNTEyNmEwOWUtYzkyOC00ZTQ4LTllZmUtMjk0Y2YwOGUzYjRiXkEyXkFqcGc@._V1_QL75_UX280_CR0,0,280,414_.jpg","2001","2h 4m","PG","8.6","904K","During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, and where humans are changed into beasts."
"27","Star Wars: Episode IV - A New Hope","https://m.media-amazon.com/images/M/MV5BOGUwMDk0Y2MtNjBlNi00NmRiLTk2MWYtMGMyMDlhYmI4ZDBjXkEyXkFqcGc@._V1_QL75_UX280_CR0,7,280,414_.jpg","1977","2h 1m","PG","8.6","1.5M","Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader."
"28","Life Is Beautiful","https://m.media-amazon.com/images/M/MV5BZTBhOGYzZjQtYzE0Mi00MGIwLWE0MWYtNzMxNTM2OTFkM2NjXkEyXkFqcGc@._V1_QL75_UX280_CR0,2,280,414_.jpg","1997","1h 56m","PG-13","8.6","775K","When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp."
"29","It's a Wonderful Life","https://m.media-amazon.com/images/M/MV5BMDM4OWFhYjEtNTE5Yy00NjcyLTg5N2UtZDQwNDZlYjlmNDU5XkEyXkFqcGc@._V1_QL75_UY414_CR3,0,280,414_.jpg","1946","2h 10m","PG","8.6","526K","An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed."
"30","Earthlings","https://m.media-amazon.com/images/M/MV5BOTNiOWUxZDUtMGQ3Mi00NzhkLWEwOTYtZTlhM2VkMzVhY2JkXkEyXkFqcGc@._V1_QL75_UX280_CR0,0,280,414_.jpg","2005","1h 35m","PG","8.6","20K","Using hidden cameras and never-before-seen footage, Earthlings chronicles the day-to-day practices of the largest industries in the world, all of which rely entirely on animals for profit."
"31","Rocketry: The Nambi Effect","https://m.media-amazon.com/images/M/MV5BODkyMDUwNWUtOWMxNC00YWZlLWE4MjAtNDZjYTgyN2VmOGJhXkEyXkFqcGc@._V1_QL75_UX280_CR0,0,280,414_.jpg","2022","2h 37m","PG","8.6","60K","The story of Indian Space Research Organization scientist Nambi Narayanan, who was framed for being a spy and arrested in 1994."
"32","Dune: Part Two","https://m.media-amazon.com/images/M/MV5BNTc0YmQxMjEtODI5MC00NjFiLTlkMWUtOGQ5NjFmYWUyZGJhXkEyXkFqcGc@._V1_QL75_UX280_CR0,0,280,414_.jpg","2024","2h 46m","PG-13","8.5","620K","Paul Atreides unites with the Fremen while on a warpath of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the universe, he endeavors to prevent a terrible future."
"33","Gladiator","https://m.media-amazon.com/images/M/MV5BYWQ4YmNjYjEtOWE1Zi00Y2U4LWI4NTAtMTU0MjkxNWQ1ZmJiXkEyXkFqcGc@._V1_QL75_UX280_CR0,0,280,414_.jpg","2000","2h 35m","R","8.5","1.7M","A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery."
"34","Parasite","https://m.media-amazon.com/images/M/MV5BYjk1Y2U4MjQtY2ZiNS00OWQyLWI3MmYtZWUwNmRjYWRiNWNhXkEyXkFqcGc@._V1_QL75_UX280_CR0,0,280,414_.jpg","2019","2h 12m","R","8.5","1.1M","Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan."
"35","The Prestige","https://m.media-amazon.com/images/M/MV5BMjA4NDI0MTIxNF5BMl5BanBnXkFtZTYwNTM0MzY2._V1_QL75_UX280_CR0,0,280,414_.jpg","2006","2h 10m","PG-13","8.5","1.5M","Rival 19th-century magicians engage in a bitter battle for trade secrets."
"36","The Departed","https://m.media-amazon.com/images/M/MV5BMTI1MTY2OTIxNV5BMl5BanBnXkFtZTYwNjQ4NjY3._V1_QL75_UY414_CR0,0,280,414_.jpg","2006","2h 31m","R","8.5","1.5M","An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston."
"37","Django Unchained","https://m.media-amazon.com/images/M/MV5BMjIyNTQ5NjQ1OV5BMl5BanBnXkFtZTcwODg1MDU4OA@@._V1_QL75_UX280_CR0,0,280,414_.jpg","2012","2h 45m","R","8.5","1.8M","With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi."
"38","The Lion King","https://m.media-amazon.com/images/M/MV5BZGRiZDZhZjItM2M3ZC00Y2IyLTk3Y2MtMWY5YjliNDFkZTJlXkEyXkFqcGc@._V1_QL75_UX280_CR0,1,280,414_.jpg","1994","1h 28m","G","8.5","1.2M","Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself."
"39","Whiplash","https://m.media-amazon.com/images/M/MV5BMDFjOWFkYzktYzhhMC00NmYyLTkwY2EtYjViMDhmNzg0OGFkXkEyXkFqcGc@._V1_QL75_UX280_CR0,0,280,414_.jpg","2014","1h 46m","R","8.5","1.1M","A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential."
"40","Léon: The Professional","https://m.media-amazon.com/images/M/MV5BNGRkYTNhOWQtYmI0Ni00MjZhLWJmMzAtMTA2Mjg4NGNiNDU0XkEyXkFqcGc@._V1_QL75_UX280_CR0,2,280,414_.jpg","1994","1h 50m","R","8.5","1.3M","An Italian hit man protects a New York orphan."
"41","Back to the Future","https://m.media-amazon.com/images/M/MV5BZmM3ZjE0NzctNjBiOC00MDZmLTgzMTUtNGVlOWFlOTNiZDJiXkEyXkFqcGc@._V1_QL75_UX280_CR0,10,280,414_.jpg","1985","1h 56m","PG","8.5","1.4M","Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown."
"42","Alien","https://m.media-amazon.com/images/M/MV5BN2NhMDk2MmEtZDQzOC00MmY5LThhYzAtMDdjZGFjOGZjMjdjXkEyXkFqcGc@._V1_QL75_UX280_CR0,4,280,414_.jpg","1979","1h 57m","R","8.5","1M","After investigating a mysterious transmission of unknown origin, the crew of a commercial spacecraft encounters a deadly lifeform."
"43","Spider-Man: Across the Spider-Verse","https://m.media-amazon.com/images/M/MV5BNThiZjA3MjItZGY5Ni00ZmJhLWEwN2EtOTBlYTA4Y2E0M2ZmXkEyXkFqcGc@._V1_QL75_UX280_CR0,1,280,414_.jpg","2023","2h 20m","PG","8.5","447K","Traveling across the multiverse, Miles Morales meets a new team of Spider-People, made up of heroes from different dimensions. But when the heroes clash over how to deal with a new threat, Miles finds himself at a crossroads."
"44","The Usual Suspects","https://m.media-amazon.com/images/M/MV5BOTE5MDUxZDUtZWZmZC00NDVmLWFhOGQtNWI2YTc4NzY3MGQ0XkEyXkFqcGc@._V1_QL75_UX280_CR0,2,280,414_.jpg","1995","1h 46m","R","8.5","1.2M","The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup."
"45","American History X","https://m.media-amazon.com/images/M/MV5BMzhiOTQ0NDItOTg0Zi00OGVmLWE0OGEtMTI4NDM0NWMxZWU4XkEyXkFqcGc@._V1_QL75_UX280_CR0,1,280,414_.jpg","1998","1h 59m","R","8.5","1.2M","Living a life marked by violence, neo-Nazi Derek finally goes to prison after killing two black youths. Upon his release, Derek vows to change; he hopes to prevent his brother, Danny, who idolizes Derek, from following in his footsteps."
"46","The Pianist","https://m.media-amazon.com/images/M/MV5BMjEwNmEwYjgtNTk3ZC00NjljLTg5ZDctZTY3ZGQwZjRkZmQxXkEyXkFqcGc@._V1_QL75_UY414_CR10,0,280,414_.jpg","2002","2h 30m","R","8.5","964K","During WWII, acclaimed Polish musician Wladyslaw faces various struggles as he loses contact with his family. As the situation worsens, he hides in the ruins of Warsaw in order to survive."
"47","The Intouchables","https://m.media-amazon.com/images/M/MV5BMTYxNDA3MDQwNl5BMl5BanBnXkFtZTcwNTU4Mzc1Nw@@._V1_QL75_UX280_CR0,0,280,414_.jpg","2011","1h 52m","R","8.5","973K","After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver."
"48","Once Upon a Time in the West","https://m.media-amazon.com/images/M/MV5BZjYyNGY1MDEtN2I1MC00MGVhLTljZTYtODQ1NzQ0ODc2NzZlXkEyXkFqcGc@._V1_QL75_UX280_CR0,2,280,414_.jpg","1968","2h 46m","PG-13","8.5","366K","A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad."
"49","Psycho","https://m.media-amazon.com/images/M/MV5BYjZhMzFiZjItODA3ZC00MmRhLWIzMGYtMmVjOWUwYTA3MTRjXkEyXkFqcGc@._V1_QL75_UX280_CR0,1,280,414_.jpg","1960","1h 49m","R","8.5","749K","A secretary on the run for embezzlement takes refuge at a secluded California motel owned by a repressed man and his overbearing mother."
"50","Casablanca","https://m.media-amazon.com/images/M/MV5BNWEzN2U1YTYtYTQyMS00NTVkLWE2NGQtZWFlMmM0MDNjMmRiXkEyXkFqcGc@._V1_QL75_UX280_CR0,4,280,414_.jpg","1942","1h 42m","PG","8.5","629K","A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco."
"51","Rear Window","https://m.media-amazon.com/images/M/MV5BODZhOWI1ODgtMzdiOS00YjNkLTgwOGUtYmIyZDg5ZmQwMzQ1XkEyXkFqcGc@._V1_QL75_UY414_CR2,0,280,414_.jpg","1954","1h 52m","PG","8.5","544K","A bored photographer recovering from a broken leg passes the time by watching his neighbors and begins to suspect one of them of murder."
"52","Dear Zachary: A Letter to a Son About His Father","https://m.media-amazon.com/images/M/MV5BYTc3NTM1ZmQtNGI3YS00Y2JhLThiMWEtY2QxYTU3N2ZiNjNkXkEyXkFqcGc@._V1_QL75_UX280_CR0,0,280,414_.jpg","2008","1h 35m","Not Rated","8.5","43K","A filmmaker decides to memorialize a murdered friend when his friend's ex-girlfriend announces she is expecting his son."
"53","Modern Times","https://m.media-amazon.com/images/M/MV5BODVkZGFhNGQtYjdiYi00Njc4LWFmYTItNTlmNzJjMTg1ZDc5XkEyXkFqcGc@._V1_QL75_UX280_CR0,1,280,414_.jpg","1936","1h 27m","G","8.5","272K","The Tramp struggles to live in modern industrial society with the help of a young homeless woman."
"54","City Lights","https://m.media-amazon.com/images/M/MV5BM2U4NjgzODUtODkyOC00YTE2LTlhNTItYzFlYmM1NTEzZDA2XkEyXkFqcGc@._V1_QL75_UX280_CR0,3,280,414_.jpg","1931","1h 27m","G","8.5","206K","With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically."
"55","Senna","https://m.media-amazon.com/images/M/MV5BMTc5MTUzOTAxMl5BMl5BanBnXkFtZTcwODQzMjg3NA@@._V1_QL75_UX280_CR0,0,280,414_.jpg","2010","1h 46m","PG-13","8.5","80K","A documentary on Brazilian Formula One racing driver Ayrton Senna, who won the F1 world championship three times before his death at age 34."
"56","20 Days in Mariupol","https://m.media-amazon.com/images/M/MV5BZmY2ODlmNmQtODQ2MS00OTlkLWIyNTEtNzhhNTEyNjNjMjdjXkEyXkFqcGc@._V1_QL75_UX280_CR0,0,280,414_.jpg","2023","1h 35m","TV-PG","8.5","25K","As the Russian invasion begins, a team of Ukrainian journalists trapped in the besieged city of Mariupol struggle to continue their work documenting the war's atrocities."
"57","The Best of Youth","https://m.media-amazon.com/images/M/MV5BYzcxMTE2YjUtMzIyMy00NDNjLWE3ZWYtODQzYmNhNDVhNDZmXkEyXkFqcGc@._V1_QL75_UY414_CR5,0,280,414_.jpg","2003","6h 14m","R","8.5","25K","An Italian epic that follows the lives of two brothers from the 1960s to the 2000s."
"58","Home","https://m.media-amazon.com/images/M/MV5BMmQ3YmFjOGItYTgxNC00YzBjLTgwODEtM2Q2YTEyOWQxYjRkXkEyXkFqcGc@._V1_QL75_UY414_CR7,0,280,414_.jpg","2009","1h 58m","Not Rated","8.5","23K","With aerial footage from fifty-four countries, 'Home' is a depiction of how Earth's problems are all interlinked."
"59","Inglourious Basterds","https://m.media-amazon.com/images/M/MV5BODZhMWJlNjYtNDExNC00MTIzLTllM2ItOGQ2NGVjNDQ3MzkzXkEyXkFqcGc@._V1_QL75_UX280_CR0,0,280,414_.jpg","2009","2h 33m","R","8.4","1.7M","In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same."
"60","Avengers: Endgame","https://m.media-amazon.com/images/M/MV5BMTc5MDE2ODcwNV5BMl5BanBnXkFtZTgwMzI2NzQ2NzM@._V1_QL75_UX280_CR0,0,280,414_.jpg","2019","3h 1m","PG-13","8.4","1.3M","After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe."
"61","Avengers: Infinity War","https://m.media-amazon.com/images/M/MV5BMjMxNjY2MDU1OV5BMl5BanBnXkFtZTgwNzY1MTUwNTM@._V1_QL75_UX280_CR0,0,280,414_.jpg","2018","2h 29m","PG-13","8.4","1.3M","The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe."
"62","The Dark Knight Rises","https://m.media-amazon.com/images/M/MV5BMTk4ODQzNDY3Ml5BMl5BanBnXkFtZTcwODA0NTM4Nw@@._V1_QL75_UX280_CR0,0,280,414_.jpg","2012","2h 44m","PG-13","8.4","1.9M","Bane, an imposing terrorist, attacks Gotham City and disrupts its eight-year-long period of peace. This forces Bruce Wayne to come out of hiding and don the cape and cowl of Batman again."
"63","Apocalypse Now","https://m.media-amazon.com/images/M/MV5BZDhiMTljYjYtODc1Yy00MmEwLTg2OTYtYmE1YTRmNDE4MmEwXkEyXkFqcGc@._V1_QL75_UX280_CR0,8,280,414_.jpg","1979","2h 27m","R","8.4","739K","A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god."
"64","Memento","https://m.media-amazon.com/images/M/MV5BYmQ3MjliNjAtNWFiZS00YWI1LTlmZTktMzBiNDE1NjRhZjU0XkEyXkFqcGc@._V1_QL75_UY414_CR1,0,280,414_.jpg","2000","1h 53m","R","8.4","1.4M","Leonard Shelby, an insurance investigator, suffers from anterograde amnesia and uses notes and tattoos to hunt for the man he thinks killed his wife, which is the last thing he remembers."
"65","Amadeus","https://m.media-amazon.com/images/M/MV5BMzc2MjM0NTMtOGY4NC00NzY1LWE2ODUtZjMzY2RhNGNkZDAyXkEyXkFqcGc@._V1_QL75_UX280_CR0,11,280,414_.jpg","1984","2h 40m","PG","8.4","447K","The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was deeply jealous of Mozart's talent and claimed to have murdered him."
"66","The Shining","https://m.media-amazon.com/images/M/MV5BNmM5ZThhY2ItOGRjOS00NzZiLWEwYTItNDgyMjFkOTgxMmRiXkEyXkFqcGc@._V1_QL75_UX280_CR0,6,280,414_.jpg","1980","2h 26m","R","8.4","1.2M","A family heads to an isolated hotel for the winter, where a sinister presence influences the father into violence. At the same time, his psychic son sees horrifying forebodings from both the past and the future."
"67","Aliens","https://m.media-amazon.com/images/M/MV5BZjIyNGJhYzYtN2I1My00OTVhLWEyMzItZTVjNDMzOTVkYWViXkEyXkFqcGc@._V1_QL75_UX280_CR0,4,280,414_.jpg","1986","2h 17m","R","8.4","806K","Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring."
"68","Raiders of the Lost Ark","https://m.media-amazon.com/images/M/MV5BOGNhMjg2ZjgtYzk4Ni00MTViLTg1MmUtYzM2MDZiYjZlMmU3XkEyXkFqcGc@._V1_QL75_UY414_CR1,0,280,414_.jpg","1981","1h 55m","PG","8.4","1.1M","In 1936, archaeologists and adventurers of the U.S. government hired Indiana Jones to find the Ark of the Covenant before the Nazis could obtain its extraordinary powers."
"69","Coco","https://m.media-amazon.com/images/M/MV5BMDIyM2E2NTAtMzlhNy00ZGUxLWI1NjgtZDY5MzhiMDc5NGU3XkEyXkFqcGc@._V1_QL75_UY414_CR5,0,280,414_.jpg","2017","1h 45m","PG","8.4","645K","Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer."
"70","Spider-Man: Into the Spider-Verse","https://m.media-amazon.com/images/M/MV5BMjMwNDkxMTgzOF5BMl5BanBnXkFtZTgwNTkwNTQ3NjM@._V1_QL75_UX280_CR0,0,280,414_.jpg","2018","1h 57m","PG","8.4","725K","Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities."
"71","WALL·E","https://m.media-amazon.com/images/M/MV5BMjExMTg5OTU0NF5BMl5BanBnXkFtZTcwMjMxMzMzMw@@._V1_QL75_UX280_CR0,0,280,414_.jpg","2008","1h 38m","G","8.4","1.3M","A robot who is responsible for cleaning a waste-covered Earth meets another robot and falls in love with her. Together, they set out on a journey that will alter the fate of mankind."
"72","3 Idiots","https://m.media-amazon.com/images/M/MV5BNzc4ZWQ3NmYtODE0Ny00YTQ4LTlkZWItNTBkMGQ0MmUwMmJlXkEyXkFqcGc@._V1_QL75_UY414_CR4,0,280,414_.jpg","2009","2h 50m","PG-13","8.4","456K","Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots""."
"73","Das Boot","https://m.media-amazon.com/images/M/MV5BNGU0MWZlMTUtM2Y3Ny00NGNmLWE5NmEtN2YxOWQzMGM3ZWYzXkEyXkFqcGc@._V1_QL75_UX280_CR0,5,280,414_.jpg","1981","2h 29m","85Metascore","8.4","278K","A German U-boat stalks the frigid waters of the North Atlantic as its young crew experience the sheer terror and claustrophobic life of a submariner in World War II."
